time_marker,marker
1729950418.458567,1000
1729950423.47399,2000
1729950428.4794679,1000
1729950433.4895542,3000
1729950438.4942122,1000
1729950443.5002415,4000
1729950448.5026162,1000
1729950453.5150106,5000
1729950458.519103,1000
1729950463.5328715,6000
1729950468.537016,1000
1729950473.5381575,2000
1729950478.5461924,1000
1729950483.5559328,3000
1729950488.568244,1000
1729950493.5802035,4000
1729950498.609161,1000
1729950503.6210701,5000
1729950508.6319716,1000
1729950513.6452918,6000
1729950518.655225,1000
1729950523.660297,2000
1729950528.6634889,1000
1729950533.6759348,3000
1729950538.6794953,1000
1729950543.6922898,4000
1729950548.7073834,1000
1729950553.709891,5000
1729950558.722771,1000
1729950563.7263727,6000
1729950568.7380033,1000
1729950573.753347,2000
1729950578.7678745,1000
1729950583.780814,3000
1729950588.7933788,1000
1729950593.806352,4000
1729950598.8111415,1000
1729950603.8203819,5000
1729950608.8228002,1000
1729950613.8309727,6000
1729950618.838597,1000
1729950623.8388555,2000
1729950628.8515036,1000
1729950633.8644757,3000
1729950638.8658352,1000
1729950643.868305,4000
1729950648.8793814,1000
1729950653.8811197,5000
1729950658.8852956,1000
1729950663.8972058,6000
1729950668.9087157,1000
1729950673.9121375,2000
1729950678.9164886,1000
1729950683.928906,3000
1729950688.9326355,1000
1729950693.9450858,4000
1729950698.950661,1000
1729950703.9526641,5000
1729950708.9649577,1000
1729950713.9768517,6000
